/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [1][330/1445]	Time 0.326 (0.322)	Data 0.003 (0.004)	Loss 1.3774 (5.0413)	
Epoch: [1][360/1445]	Time 0.323 (0.322)	Data 0.003 (0.004)	Loss 96.8384 (5.1118)	
Epoch: [1][390/1445]	Time 0.325 (0.322)	Data 0.003 (0.004)	Loss 3.6291 (5.0576)	
Epoch: [1][420/1445]	Time 0.321 (0.322)	Data 0.003 (0.004)	Loss 4.7597 (5.2100)	
Epoch: [1][450/1445]	Time 0.320 (0.322)	Data 0.003 (0.004)	Loss 1.0610 (5.1759)	
Epoch: [1][480/1445]	Time 0.321 (0.322)	Data 0.003 (0.004)	Loss 1.2841 (5.0345)	
Epoch: [1][510/1445]	Time 0.324 (0.322)	Data 0.003 (0.004)	Loss 0.9911 (4.9597)	
Epoch: [1][540/1445]	Time 0.316 (0.322)	Data 0.003 (0.004)	Loss 0.9759 (4.8241)	
Epoch: [1][570/1445]	Time 0.322 (0.322)	Data 0.003 (0.004)	Loss 4.3977 (4.9926)	
Epoch: [1][600/1445]	Time 0.327 (0.322)	Data 0.003 (0.004)	Loss 2.7282 (4.9767)	
Epoch: [1][630/1445]	Time 0.329 (0.322)	Data 0.003 (0.004)	Loss 1.0787 (4.9001)	
Epoch: [1][660/1445]	Time 0.319 (0.322)	Data 0.004 (0.004)	Loss 71.8694 (4.9879)	
Epoch: [1][690/1445]	Time 0.323 (0.322)	Data 0.003 (0.004)	Loss 1.5372 (4.8966)	
Epoch: [1][720/1445]	Time 0.321 (0.322)	Data 0.003 (0.004)	Loss 13.8052 (4.9196)	
Epoch: [1][750/1445]	Time 0.322 (0.322)	Data 0.005 (0.004)	Loss 66.4032 (5.0658)	
Epoch: [1][780/1445]	Time 0.328 (0.322)	Data 0.003 (0.004)	Loss 6.7590 (5.0347)	
Epoch: [1][810/1445]	Time 0.324 (0.322)	Data 0.003 (0.004)	Loss 3.6393 (4.9550)	
Epoch: [1][840/1445]	Time 0.325 (0.322)	Data 0.003 (0.004)	Loss 16.5543 (4.9092)	
Epoch: [1][870/1445]	Time 0.325 (0.323)	Data 0.003 (0.004)	Loss 2.1598 (4.9382)	
Epoch: [1][900/1445]	Time 0.330 (0.323)	Data 0.003 (0.004)	Loss 1.2010 (4.8683)	
Epoch: [1][930/1445]	Time 0.319 (0.323)	Data 0.005 (0.004)	Loss 1.3576 (5.0517)	
Epoch: [1][960/1445]	Time 0.322 (0.323)	Data 0.003 (0.004)	Loss 3.8161 (4.9900)	
Epoch: [1][990/1445]	Time 0.325 (0.323)	Data 0.004 (0.003)	Loss 8.5646 (4.9698)	
Epoch: [1][1020/1445]	Time 0.322 (0.323)	Data 0.003 (0.003)	Loss 2.9164 (4.9776)	
Epoch: [1][1050/1445]	Time 0.323 (0.323)	Data 0.003 (0.003)	Loss 2.5686 (5.0742)	
Epoch: [1][1080/1445]	Time 0.322 (0.323)	Data 0.004 (0.003)	Loss 2.3949 (5.1210)	
Epoch: [1][1110/1445]	Time 0.320 (0.323)	Data 0.003 (0.003)	Loss 1.7933 (5.0684)	
Epoch: [1][1140/1445]	Time 0.319 (0.323)	Data 0.004 (0.003)	Loss 5.9733 (5.1154)	
Epoch: [1][1170/1445]	Time 0.326 (0.323)	Data 0.003 (0.003)	Loss 5.2759 (5.0884)	
Epoch: [1][1200/1445]	Time 0.318 (0.323)	Data 0.003 (0.004)	Loss 2.4337 (5.0841)	
Epoch: [1][1230/1445]	Time 0.325 (0.323)	Data 0.003 (0.003)	Loss 0.9143 (5.1350)	
Epoch: [1][1260/1445]	Time 0.325 (0.323)	Data 0.003 (0.004)	Loss 4.0774 (5.0767)	
Epoch: [1][1290/1445]	Time 0.322 (0.323)	Data 0.003 (0.003)	Loss 2.5327 (5.0449)	
Epoch: [1][1320/1445]	Time 0.315 (0.322)	Data 0.003 (0.003)	Loss 1.2267 (4.9803)	
Epoch: [1][1350/1445]	Time 0.317 (0.322)	Data 0.004 (0.003)	Loss 1.3382 (4.9909)	
Epoch: [1][1380/1445]	Time 0.322 (0.322)	Data 0.003 (0.003)	Loss 2.3804 (4.9516)	
Epoch: [1][1410/1445]	Time 0.311 (0.322)	Data 0.003 (0.004)	Loss 1.0277 (4.8990)	
