/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [1][690/1445]	Time 0.324 (0.319)	Data 0.003 (0.004)	Loss 11.9496 (5.2747)	
Epoch: [1][720/1445]	Time 0.325 (0.320)	Data 0.004 (0.004)	Loss 1.9272 (5.2868)	
Epoch: [1][750/1445]	Time 0.328 (0.320)	Data 0.004 (0.004)	Loss 1.2639 (5.3633)	
Epoch: [1][780/1445]	Time 0.322 (0.320)	Data 0.004 (0.004)	Loss 1.8889 (5.3555)	
Epoch: [1][810/1445]	Time 0.322 (0.320)	Data 0.004 (0.004)	Loss 5.1361 (5.3590)	
Epoch: [1][840/1445]	Time 0.324 (0.320)	Data 0.004 (0.004)	Loss 0.8998 (5.2660)	
Epoch: [1][870/1445]	Time 0.320 (0.320)	Data 0.003 (0.004)	Loss 7.8594 (5.2368)	
Epoch: [1][900/1445]	Time 0.325 (0.320)	Data 0.003 (0.004)	Loss 2.1015 (5.1768)	
Epoch: [1][930/1445]	Time 0.324 (0.320)	Data 0.004 (0.004)	Loss 2.7236 (5.1464)	
Epoch: [1][960/1445]	Time 0.320 (0.320)	Data 0.005 (0.004)	Loss 3.6505 (5.1023)	
Epoch: [1][990/1445]	Time 0.325 (0.321)	Data 0.003 (0.004)	Loss 6.6947 (5.0543)	
Epoch: [1][1020/1445]	Time 0.327 (0.321)	Data 0.003 (0.004)	Loss 4.6444 (5.0833)	
Epoch: [1][1050/1445]	Time 0.321 (0.321)	Data 0.004 (0.004)	Loss 1.5072 (5.0149)	
Epoch: [1][1080/1445]	Time 0.324 (0.321)	Data 0.003 (0.004)	Loss 2.7737 (4.9556)	
Epoch: [1][1110/1445]	Time 0.324 (0.321)	Data 0.003 (0.004)	Loss 1.0782 (4.8880)	
Epoch: [1][1140/1445]	Time 0.322 (0.321)	Data 0.004 (0.004)	Loss 1.1766 (4.8812)	
Epoch: [1][1170/1445]	Time 0.326 (0.321)	Data 0.004 (0.004)	Loss 1.0142 (4.8116)	
Epoch: [1][1200/1445]	Time 0.327 (0.321)	Data 0.003 (0.004)	Loss 5.0012 (4.7781)	
Epoch: [1][1230/1445]	Time 0.325 (0.321)	Data 0.004 (0.004)	Loss 7.7071 (4.7288)	
Epoch: [1][1260/1445]	Time 0.322 (0.321)	Data 0.004 (0.004)	Loss 1.4164 (4.7376)	
Epoch: [1][1290/1445]	Time 0.323 (0.321)	Data 0.004 (0.004)	Loss 1.0596 (4.7416)	
Epoch: [1][1320/1445]	Time 0.325 (0.321)	Data 0.004 (0.004)	Loss 3.8849 (4.7316)	
Epoch: [1][1350/1445]	Time 0.325 (0.321)	Data 0.004 (0.004)	Loss 1.4047 (4.6848)	
Epoch: [1][1380/1445]	Time 0.328 (0.321)	Data 0.004 (0.004)	Loss 4.3964 (4.6589)	
Epoch: [1][1410/1445]	Time 0.326 (0.321)	Data 0.004 (0.004)	Loss 0.9939 (4.7437)	
Epoch: [1][1440/1445]	Time 0.324 (0.321)	Data 0.004 (0.004)	Loss 0.9471 (4.7362)	
begin test
 * MAE 46.433 
 * best MAE 46.433 
epoch 2, processed 2890 samples, lr 0.0000001000
Epoch: [2][0/1445]	Time 0.521 (0.521)	Data 0.385 (0.385)	Loss 3.3283 (3.3283)	
Epoch: [2][30/1445]	Time 0.310 (0.317)	Data 0.004 (0.016)	Loss 5.7030 (5.4618)	
Epoch: [2][60/1445]	Time 0.302 (0.313)	Data 0.003 (0.010)	Loss 23.4469 (5.0872)	
Epoch: [2][90/1445]	Time 0.309 (0.312)	Data 0.003 (0.008)	Loss 3.8324 (4.5540)	
Epoch: [2][120/1445]	Time 0.314 (0.311)	Data 0.004 (0.007)	Loss 53.1768 (4.9203)	
Epoch: [2][150/1445]	Time 0.312 (0.298)	Data 0.003 (0.006)	Loss 1.4157 (5.2082)	
Epoch: [2][180/1445]	Time 0.319 (0.301)	Data 0.003 (0.006)	Loss 9.0319 (5.1470)	
Epoch: [2][210/1445]	Time 0.320 (0.304)	Data 0.004 (0.005)	Loss 4.1756 (4.8531)	
Epoch: [2][240/1445]	Time 0.321 (0.306)	Data 0.003 (0.005)	Loss 1.5386 (4.9125)	
Epoch: [2][270/1445]	Time 0.318 (0.308)	Data 0.003 (0.005)	Loss 1.3634 (4.9797)	
Epoch: [2][300/1445]	Time 0.319 (0.309)	Data 0.004 (0.005)	Loss 3.9910 (4.7950)	
Epoch: [2][330/1445]	Time 0.322 (0.310)	Data 0.003 (0.005)	Loss 1.6445 (4.7653)	
Epoch: [2][360/1445]	Time 0.318 (0.311)	Data 0.002 (0.005)	Loss 1.1305 (4.6227)	
Epoch: [2][390/1445]	Time 0.322 (0.311)	Data 0.004 (0.004)	Loss 1.1347 (4.4678)	
Epoch: [2][420/1445]	Time 0.321 (0.312)	Data 0.004 (0.004)	Loss 0.8559 (4.4935)	
Epoch: [2][450/1445]	Time 0.318 (0.312)	Data 0.004 (0.004)	Loss 1.3944 (4.5897)	
Epoch: [2][480/1445]	Time 0.319 (0.313)	Data 0.003 (0.004)	Loss 2.1063 (4.5221)	
Epoch: [2][510/1445]	Time 0.319 (0.313)	Data 0.004 (0.004)	Loss 4.1683 (4.5151)	
Epoch: [2][540/1445]	Time 0.323 (0.314)	Data 0.003 (0.004)	Loss 2.0889 (4.7074)	
Epoch: [2][570/1445]	Time 0.320 (0.314)	Data 0.004 (0.004)	Loss 1.6532 (4.8302)	
Epoch: [2][600/1445]	Time 0.320 (0.314)	Data 0.003 (0.004)	Loss 2.3412 (4.7620)	
Epoch: [2][630/1445]	Time 0.323 (0.314)	Data 0.004 (0.004)	Loss 6.6924 (4.8749)	
Epoch: [2][660/1445]	Time 0.322 (0.315)	Data 0.004 (0.004)	Loss 3.1490 (5.0847)	
Epoch: [2][690/1445]	Time 0.324 (0.315)	Data 0.003 (0.004)	Loss 2.7318 (5.0525)	
Epoch: [2][720/1445]	Time 0.324 (0.316)	Data 0.003 (0.004)	Loss 3.5650 (5.0845)	
Epoch: [2][750/1445]	Time 0.319 (0.316)	Data 0.004 (0.004)	Loss 3.1931 (5.0530)	
Epoch: [2][780/1445]	Time 0.324 (0.316)	Data 0.004 (0.004)	Loss 2.8841 (4.9876)	
Epoch: [2][810/1445]	Time 0.328 (0.316)	Data 0.004 (0.004)	Loss 1.0136 (5.0037)	
Epoch: [2][840/1445]	Time 0.322 (0.317)	Data 0.004 (0.004)	Loss 7.3401 (5.0934)	
Epoch: [2][870/1445]	Time 0.324 (0.317)	Data 0.004 (0.004)	Loss 1.2025 (5.1357)	
Epoch: [2][900/1445]	Time 0.324 (0.317)	Data 0.004 (0.004)	Loss 2.8683 (5.0870)	
Epoch: [2][930/1445]	Time 0.324 (0.317)	Data 0.003 (0.004)	Loss 1.8721 (5.0415)	
Epoch: [2][960/1445]	Time 0.323 (0.317)	Data 0.003 (0.004)	Loss 4.3421 (5.0014)	
Epoch: [2][990/1445]	Time 0.321 (0.317)	Data 0.004 (0.004)	Loss 3.9187 (4.9853)	
Epoch: [2][1020/1445]	Time 0.322 (0.318)	Data 0.003 (0.004)	Loss 2.1992 (4.9360)	
Epoch: [2][1050/1445]	Time 0.327 (0.318)	Data 0.004 (0.004)	Loss 12.7848 (4.8737)	
Epoch: [2][1080/1445]	Time 0.324 (0.318)	Data 0.004 (0.004)	Loss 1.1363 (4.8376)	
Epoch: [2][1110/1445]	Time 0.327 (0.318)	Data 0.003 (0.004)	Loss 0.8812 (4.8281)	
Epoch: [2][1140/1445]	Time 0.322 (0.318)	Data 0.003 (0.004)	Loss 1.1709 (4.7622)	
Epoch: [2][1170/1445]	Time 0.319 (0.318)	Data 0.004 (0.004)	Loss 1.0659 (4.7996)	
Epoch: [2][1200/1445]	Time 0.329 (0.318)	Data 0.004 (0.004)	Loss 1.5148 (4.8287)	
Epoch: [2][1230/1445]	Time 0.319 (0.319)	Data 0.004 (0.004)	Loss 1.2118 (4.8059)	
Epoch: [2][1260/1445]	Time 0.322 (0.319)	Data 0.003 (0.004)	Loss 1.0109 (4.8202)	
Epoch: [2][1290/1445]	Time 0.321 (0.319)	Data 0.003 (0.004)	Loss 1.0179 (4.7639)	
Epoch: [2][1320/1445]	Time 0.323 (0.319)	Data 0.004 (0.004)	Loss 0.9832 (4.8013)	
Epoch: [2][1350/1445]	Time 0.323 (0.319)	Data 0.005 (0.004)	Loss 8.1006 (4.7748)	
